Latitude,Longitude,Stop Name,Stop Status
40.687569,-73.938538,GATES AV/MARCUS GARVEY BL,at stop
40.686757,-73.965142,GREENE AV/WASHINGTON AV,at stop
40.687893,-73.935851,GATES AV/LEWIS AV,at stop
40.693706,-73.917942,GATES AV/CENTRAL AV,at stop
40.688511,-73.930414,GATES AV/MALCOLM X BL,at stop
40.688547,-73.930064,GATES AV/MALCOLM X BL,at stop
40.692442,-73.990326,JORALEMON ST/COURT ST,approaching
40.697982,-73.912583,PALMETTO ST/IRVING AV,approaching
40.693218,-73.989109,ADAMS ST/BKLYN SUPREME CRT,approaching
40.686945,-73.976082,FULTON ST/FT GREENE PL,approaching
40.686535,-73.967104,GREENE AV/VANDERBILT AV,< 1 stop away
40.693866,-73.990441,N/A,N/A
40.686083,-73.95945,GREENE AV/CLASSON AV,< 1 stop away
40.692522,-73.989079,FULTON ST/SMITH ST,< 1 stop away
40.686621,-73.966298,GREENE AV/VANDERBILT AV,< 1 stop away
